model-1643276916,1643276917,in_sample,0.54,0.2493
model-1643276916,1643276917,in_sample,0.54,0.2488
model-1643276916,1643276918,in_sample,0.59,0.2476
model-1643277503,1643277504,in_sample,0.54,0.2495,0.47,0.2571
model-1643277503,1643277504,in_sample,0.55,0.2461,0.58,0.246
model-1643277503,1643277505,in_sample,0.57,0.2486,0.51,0.2497
model-1643277503,1643277506,in_sample,0.52,0.2457,0.46,0.2562
model-1643277503,1643277506,in_sample,0.54,0.2442,0.51,0.2487
model-1643277503,1643277507,in_sample,0.55,0.2456,0.55,0.2476
model-1643277503,1643277508,in_sample,0.53,0.2432,0.49,0.2509
model-1643277503,1643277508,in_sample,0.61,0.2422,0.56,0.2465
model-1643277503,1643277509,in_sample,0.49,0.2731,0.47,0.264
model-1643277503,1643277509,in_sample,0.5,0.2615,0.49,0.2523
model-1643277503,1643277510,in_sample,0.44,0.2523,0.43,0.2531
model-1643277503,1643277511,in_sample,0.44,0.2543,0.55,0.2501
model-1643277503,1643277511,in_sample,0.55,0.2498,0.56,0.2442
model-1643277503,1643277512,in_sample,0.51,0.2495,0.45,0.2518
model-1643277503,1643277513,in_sample,0.5,0.2491,0.51,0.2504
model-1643277503,1643277513,in_sample,0.42,0.2572,0.54,0.2477
model-1643277503,1643277514,in_sample,0.47,0.2519,0.53,0.2491
model-1643277503,1643277515,in_sample,0.48,0.2501,0.55,0.2486
model-1643277503,1643277515,in_sample,0.48,0.2496,0.49,0.2501
model-1643277503,1643277516,in_sample,0.58,0.2498,0.61,0.2491
model-1643277503,1643277517,in_sample,0.58,0.2494,0.45,0.2505
model-1643277503,1643277517,in_sample,0.48,0.2499,0.4,0.2515
model-1643277503,1643277518,in_sample,0.57,0.2485,0.49,0.2498
model-1643277503,1643277519,in_sample,0.57,0.2476,0.38,0.2562
model-1643277503,1643277519,in_sample,0.47,0.2522,0.48,0.2514
model-1643277503,1643277520,in_sample,0.56,0.2467,0.45,0.2531
model-1643277503,1643277520,in_sample,0.54,0.2473,0.53,0.2478
model-1643277503,1643277521,in_sample,0.48,0.252,0.62,0.241
